Age,Nationality,Value,Wage,Preferred Foot,Weak Foot,Skill Moves,International Reputation,Real Face,Position,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Growth,tier
23,France,20500000.0,43.0,Right,4,5,2,Yes,MF,211,17,1962,70.0,67.0,53.0,76.0,59.0,91.0,73.0,58.0,66.0,83.0,93.0,93.0,93.0,77.0,87.0,80.0,67.0,77.0,66.0,71.0,36.0,17.0,74.0,73.0,58.0,82.0,28.0,18.0,23.0,10.0,9.0,12.0,7.0,7.0,6,Others
21,Germany,57000000.0,105.0,Left,4,4,3,Yes,MF,547,28,2912,73.0,85.0,78.0,84.0,80.0,86.0,84.0,53.0,78.0,87.0,78.0,88.0,78.0,85.0,74.0,74.0,75.0,82.0,69.0,78.0,42.0,38.0,84.0,82.0,73.0,84.0,39.0,46.0,38.0,6.0,8.0,11.0,10.0,12.0,8,Top 3
19,England,1300000.0,7.0,Right,3,2,1,Yes,DF,46,3,100,68.0,29.0,56.0,61.0,29.0,65.0,46.0,35.0,57.0,62.0,86.0,79.0,77.0,62.0,91.0,35.0,59.0,63.0,38.0,33.0,64.0,60.0,52.0,53.0,40.0,61.0,61.0,60.0,62.0,15.0,13.0,12.0,5.0,13.0,17,Others
22,England,53000000.0,150.0,Right,4,5,2,Yes,MF,529,63,2928,77.0,83.0,68.0,81.0,73.0,87.0,82.0,76.0,69.0,85.0,89.0,93.0,86.0,86.0,75.0,90.0,72.0,87.0,76.0,81.0,73.0,42.0,82.0,82.0,81.0,82.0,47.0,40.0,33.0,11.0,6.0,15.0,7.0,14.0,6,ManUtd
24,England,9500000.0,64.0,Right,3,3,1,No,MF,58,5,279,65.0,64.0,64.0,73.0,55.0,65.0,52.0,67.0,78.0,72.0,65.0,66.0,68.0,72.0,72.0,75.0,82.0,85.0,81.0,67.0,84.0,73.0,66.0,68.0,58.0,77.0,73.0,77.0,72.0,8.0,8.0,8.0,12.0,14.0,6,Others
19,Spain,5500000.0,32.0,Right,3,2,1,No,DF,132,12,469,35.0,30.0,68.0,69.0,31.0,58.0,51.0,31.0,60.0,68.0,57.0,65.0,60.0,74.0,57.0,51.0,73.0,68.0,69.0,25.0,72.0,73.0,31.0,48.0,44.0,61.0,74.0,74.0,70.0,11.0,9.0,12.0,11.0,7.0,13,Top 3
23,Portugal,22000000.0,105.0,Right,4,2,1,Yes,DF,125,11,480,34.0,29.0,82.0,73.0,30.0,57.0,33.0,26.0,72.0,62.0,63.0,67.0,54.0,78.0,56.0,74.0,78.0,86.0,80.0,22.0,92.0,82.0,39.0,40.0,45.0,79.0,83.0,84.0,81.0,7.0,8.0,13.0,7.0,12.0,6,Top 3
19,Brazil,9500000.0,38.0,Right,3,3,1,Yes,ST,238,22,571,66.0,74.0,68.0,67.0,61.0,76.0,70.0,49.0,45.0,75.0,87.0,86.0,83.0,73.0,79.0,68.0,43.0,76.0,61.0,60.0,75.0,37.0,74.0,65.0,60.0,73.0,44.0,40.0,43.0,10.0,6.0,7.0,6.0,6.0,11,Others
19,France,10000000.0,28.0,Right,3,2,1,No,DF,251,9,811,46.0,25.0,69.0,73.0,34.0,66.0,55.0,35.0,66.0,70.0,67.0,71.0,52.0,69.0,58.0,57.0,75.0,70.0,80.0,23.0,70.0,77.0,39.0,61.0,47.0,70.0,75.0,75.0,73.0,7.0,10.0,6.0,8.0,11.0,13,Others
19,England,10000000.0,41.0,Right,3,4,1,Yes,ST,268,14,1198,66.0,67.0,53.0,71.0,59.0,82.0,67.0,64.0,65.0,80.0,86.0,84.0,85.0,65.0,78.0,65.0,72.0,66.0,60.0,60.0,50.0,23.0,64.0,65.0,55.0,67.0,22.0,33.0,36.0,14.0,13.0,11.0,15.0,5.0,12,Top 3
20,Spain,26500000.0,97.0,Right,4,4,1,Yes,MF,254,12,958,77.0,77.0,70.0,80.0,72.0,82.0,71.0,48.0,78.0,79.0,88.0,77.0,80.0,76.0,68.0,76.0,75.0,73.0,66.0,75.0,45.0,34.0,77.0,86.0,66.0,82.0,35.0,24.0,28.0,12.0,9.0,11.0,15.0,12.0,8,Top 3
22,Netherlands,34500000.0,105.0,Right,2,4,2,Yes,MF,138,8,1383,78.0,77.0,60.0,84.0,75.0,87.0,78.0,66.0,62.0,85.0,88.0,87.0,79.0,79.0,90.0,84.0,68.0,79.0,78.0,83.0,50.0,34.0,78.0,80.0,68.0,77.0,52.0,28.0,26.0,11.0,14.0,12.0,14.0,13.0,5,Others
23,Germany,10500000.0,64.0,Right,3,2,1,Yes,DF,27,2,122,40.0,27.0,78.0,71.0,29.0,58.0,31.0,28.0,70.0,70.0,67.0,74.0,62.0,75.0,60.0,56.0,66.0,72.0,78.0,42.0,73.0,76.0,52.0,64.0,38.0,71.0,78.0,78.0,76.0,9.0,6.0,15.0,8.0,6.0,8,Others
20,England,12500000.0,49.0,Right,3,3,1,No,DF,154,12,685,81.0,48.0,69.0,73.0,46.0,76.0,70.0,66.0,68.0,76.0,78.0,81.0,74.0,72.0,67.0,73.0,71.0,76.0,78.0,62.0,70.0,72.0,62.0,65.0,50.0,65.0,71.0,77.0,73.0,8.0,12.0,7.0,13.0,11.0,9,Top 3
19,Scotland,5000000.0,25.0,Right,3,3,1,No,MF,120,9,488,60.0,53.0,50.0,76.0,59.0,72.0,58.0,54.0,73.0,74.0,67.0,68.0,76.0,71.0,75.0,49.0,58.0,65.0,35.0,58.0,68.0,66.0,58.0,74.0,53.0,70.0,64.0,68.0,57.0,9.0,7.0,9.0,13.0,12.0,15,Top 3
23,Brazil,25500000.0,90.0,Right,5,4,1,Yes,ST,191,12,682,73.0,82.0,81.0,77.0,74.0,84.0,74.0,65.0,61.0,80.0,79.0,86.0,78.0,80.0,72.0,82.0,83.0,82.0,77.0,68.0,82.0,40.0,82.0,74.0,75.0,81.0,46.0,52.0,46.0,12.0,7.0,8.0,11.0,13.0,7,Others
24,France,41000000.0,155.0,Right,3,4,3,Yes,MF,375,30,2538,72.0,85.0,71.0,80.0,75.0,89.0,84.0,54.0,63.0,87.0,88.0,90.0,83.0,82.0,79.0,83.0,70.0,77.0,76.0,79.0,54.0,42.0,84.0,77.0,81.0,82.0,34.0,39.0,36.0,9.0,8.0,8.0,15.0,11.0,4,ManUtd
23,Scotland,13500000.0,59.0,Left,3,3,1,Yes,DF,226,14,1421,77.0,52.0,59.0,73.0,27.0,75.0,72.0,56.0,68.0,74.0,85.0,86.0,76.0,74.0,77.0,79.0,80.0,85.0,76.0,66.0,82.0,72.0,67.0,72.0,36.0,74.0,73.0,74.0,74.0,13.0,16.0,8.0,12.0,13.0,8,Others
27,Korea Republic,52500000.0,165.0,Right,5,4,3,Yes,MF,237,21,760,81.0,86.0,68.0,83.0,81.0,88.0,85.0,70.0,70.0,87.0,86.0,90.0,86.0,89.0,78.0,88.0,56.0,87.0,64.0,90.0,62.0,39.0,88.0,83.0,73.0,88.0,50.0,34.0,33.0,11.0,13.0,13.0,6.0,10.0,0,Others
22,Brazil,13000000.0,59.0,Left,2,2,1,No,DF,66,17,202,38.0,31.0,80.0,73.0,28.0,49.0,47.0,27.0,68.0,66.0,60.0,50.0,51.0,76.0,37.0,51.0,70.0,67.0,84.0,30.0,78.0,78.0,44.0,59.0,40.0,74.0,79.0,81.0,78.0,12.0,8.0,13.0,10.0,7.0,7,Others
30,Wales,24500000.0,130.0,Left,3,4,4,Yes,MF,231,63,680,87.0,81.0,84.0,80.0,85.0,80.0,90.0,87.0,79.0,83.0,86.0,89.0,78.0,79.0,65.0,90.0,82.0,69.0,77.0,87.0,65.0,59.0,83.0,79.0,76.0,85.0,54.0,55.0,52.0,15.0,15.0,11.0,5.0,6.0,0,Others
23,Netherlands,33000000.0,125.0,Right,3,3,3,Yes,MF,189,20,890,67.0,79.0,69.0,82.0,80.0,76.0,78.0,65.0,79.0,85.0,67.0,73.0,72.0,85.0,70.0,83.0,71.0,92.0,76.0,80.0,75.0,73.0,84.0,82.0,63.0,85.0,72.0,74.0,68.0,7.0,12.0,8.0,10.0,14.0,4,ManUtd
22,England,30500000.0,115.0,Right,2,4,1,Yes,DF,220,23,655,74.0,44.0,58.0,74.0,43.0,82.0,68.0,45.0,56.0,77.0,84.0,88.0,85.0,82.0,73.0,70.0,62.0,79.0,71.0,46.0,78.0,83.0,69.0,64.0,56.0,76.0,82.0,85.0,90.0,9.0,8.0,6.0,8.0,8.0,5,ManUtd
20,France,1500000.0,18.0,Left,2,1,1,No,GK,28,4,108,14.0,9.0,10.0,40.0,5.0,20.0,12.0,10.0,33.0,26.0,21.0,33.0,24.0,62.0,25.0,53.0,42.0,32.0,52.0,17.0,27.0,19.0,8.0,59.0,11.0,54.0,19.0,15.0,17.0,70.0,67.0,70.0,67.0,73.0,12,Others
21,England,16500000.0,31.0,Right,3,2,1,Yes,MF,163,23,659,39.0,31.0,69.0,79.0,33.0,68.0,55.0,32.0,74.0,76.0,62.0,67.0,53.0,75.0,58.0,64.0,73.0,79.0,76.0,56.0,80.0,78.0,52.0,70.0,30.0,77.0,79.0,81.0,79.0,8.0,11.0,14.0,5.0,9.0,7,Others
24,Germany,49500000.0,135.0,Right,4,3,3,Yes,ST,375,39,2217,69.0,88.0,78.0,78.0,86.0,84.0,70.0,58.0,55.0,85.0,93.0,89.0,83.0,87.0,76.0,85.0,75.0,83.0,67.0,78.0,63.0,37.0,88.0,65.0,78.0,82.0,39.0,20.0,19.0,9.0,9.0,8.0,15.0,9.0,3,Top 3
22,Norway,16000000.0,34.0,Right,3,3,1,No,MF,230,11,1103,65.0,34.0,79.0,82.0,48.0,77.0,68.0,50.0,79.0,79.0,59.0,76.0,56.0,75.0,45.0,75.0,73.0,86.0,91.0,55.0,72.0,77.0,65.0,72.0,46.0,83.0,75.0,77.0,67.0,14.0,9.0,10.0,8.0,10.0,7,Others
21,England,4300000.0,35.0,Right,3,3,1,Yes,ST,89,9,378,43.0,73.0,57.0,65.0,67.0,74.0,54.0,38.0,45.0,72.0,85.0,82.0,79.0,74.0,72.0,69.0,73.0,68.0,59.0,62.0,52.0,19.0,74.0,58.0,57.0,68.0,22.0,19.0,15.0,12.0,10.0,11.0,9.0,5.0,12,Others
29,Brazil,25000000.0,115.0,Right,3,4,2,Yes,MF,39,3,252,70.0,74.0,59.0,84.0,56.0,82.0,65.0,49.0,79.0,83.0,77.0,69.0,78.0,88.0,86.0,73.0,67.0,92.0,78.0,69.0,90.0,88.0,79.0,80.0,53.0,85.0,87.0,88.0,86.0,13.0,13.0,5.0,5.0,8.0,0,Others
20,England,19500000.0,86.0,Left,3,4,1,Yes,MF,347,23,1563,69.0,74.0,47.0,82.0,57.0,78.0,68.0,57.0,76.0,83.0,77.0,74.0,87.0,78.0,89.0,70.0,49.0,74.0,44.0,65.0,62.0,59.0,78.0,79.0,64.0,78.0,58.0,59.0,47.0,8.0,15.0,6.0,10.0,13.0,9,Top 3
20,England,3900000.0,32.0,Right,4,3,1,Yes,ST,99,5,458,50.0,74.0,58.0,61.0,70.0,72.0,47.0,58.0,50.0,69.0,79.0,79.0,77.0,72.0,76.0,71.0,67.0,64.0,62.0,67.0,51.0,15.0,72.0,56.0,61.0,62.0,14.0,18.0,17.0,7.0,12.0,10.0,8.0,5.0,14,Top 3
20,England,11500000.0,50.0,Left,3,4,1,Yes,MF,374,19,1999,75.0,72.0,55.0,72.0,55.0,72.0,71.0,31.0,62.0,76.0,85.0,86.0,79.0,73.0,84.0,67.0,66.0,72.0,56.0,57.0,60.0,67.0,74.0,72.0,61.0,80.0,65.0,68.0,62.0,6.0,11.0,7.0,8.0,7.0,11,Others
21,England,21000000.0,69.0,Right,4,3,1,Yes,MF,205,13,854,77.0,78.0,59.0,81.0,61.0,79.0,79.0,82.0,74.0,82.0,78.0,70.0,79.0,80.0,76.0,78.0,50.0,78.0,52.0,79.0,66.0,48.0,79.0,81.0,60.0,77.0,45.0,53.0,34.0,11.0,12.0,13.0,8.0,12.0,7,Top 3
23,Portugal,20500000.0,90.0,Right,5,4,2,Yes,ST,139,9,971,68.0,77.0,52.0,72.0,75.0,84.0,76.0,58.0,68.0,84.0,88.0,79.0,87.0,82.0,86.0,82.0,66.0,79.0,73.0,74.0,85.0,54.0,82.0,74.0,63.0,84.0,53.0,54.0,44.0,7.0,12.0,15.0,9.0,11.0,6,Top 3
17,England,1100000.0,4.0,Left,4,3,1,No,ST,123,19,301,59.0,54.0,40.0,63.0,46.0,72.0,45.0,42.0,54.0,66.0,78.0,72.0,83.0,58.0,80.0,51.0,40.0,50.0,32.0,53.0,32.0,26.0,62.0,63.0,59.0,57.0,32.0,29.0,21.0,10.0,10.0,6.0,14.0,7.0,20,Top 3
19,England,950000.0,9.0,Right,4,4,1,No,MF,96,9,325,54.0,60.0,50.0,68.0,53.0,71.0,61.0,47.0,61.0,70.0,67.0,65.0,74.0,61.0,70.0,66.0,57.0,64.0,57.0,65.0,65.0,44.0,62.0,70.0,60.0,64.0,47.0,52.0,47.0,6.0,13.0,7.0,11.0,7.0,20,Top 3
28,Senegal,11000000.0,69.0,Right,2,1,1,No,GK,15,2,35,10.0,5.0,10.0,20.0,9.0,13.0,13.0,14.0,22.0,11.0,36.0,33.0,48.0,77.0,27.0,56.0,39.0,35.0,72.0,9.0,22.0,13.0,6.0,39.0,13.0,56.0,10.0,11.0,13.0,80.0,77.0,75.0,79.0,79.0,2,Top 3
27,France,50000000.0,190.0,Right,4,5,4,Yes,MF,538,86,2140,80.0,75.0,75.0,86.0,84.0,87.0,85.0,82.0,91.0,90.0,66.0,79.0,73.0,81.0,66.0,90.0,82.0,83.0,89.0,82.0,78.0,64.0,81.0,88.0,83.0,87.0,63.0,67.0,65.0,5.0,6.0,2.0,4.0,3.0,1,ManUtd
18,Brazil,2200000.0,4.0,Right,4,3,1,Yes,ST,69,9,271,56.0,68.0,70.0,62.0,63.0,73.0,59.0,33.0,54.0,,82.0,76.0,80.0,70.0,60.0,68.0,53.0,70.0,62.0,57.0,29.0,14.0,73.0,63.0,69.0,70.0,17.0,19.0,14.0,7.0,6.0,10.0,8.0,14.0,15,Others
23,England,31000000.0,93.0,Right,3,3,2,Yes,DF,185,18,1299,69.0,26.0,74.0,78.0,24.0,67.0,41.0,29.0,65.0,73.0,78.0,85.0,65.0,83.0,66.0,41.0,76.0,74.0,83.0,26.0,81.0,84.0,51.0,60.0,26.0,74.0,83.0,85.0,82.0,8.0,13.0,14.0,7.0,7.0,5,Top 3
22,England,11000000.0,55.0,Right,4,2,1,No,DF,87,5,411,56.0,33.0,74.0,75.0,32.0,65.0,38.0,40.0,60.0,65.0,76.0,83.0,73.0,73.0,61.0,42.0,74.0,67.0,78.0,45.0,75.0,76.0,33.0,36.0,27.0,76.0,75.0,79.0,74.0,10.0,13.0,10.0,11.0,7.0,9,Top 3
24,Denmark,17500000.0,73.0,Right,4,3,2,Yes,MF,103,6,782,66.0,63.0,63.0,81.0,60.0,76.0,70.0,76.0,79.0,79.0,58.0,63.0,65.0,79.0,64.0,84.0,63.0,85.0,78.0,79.0,85.0,78.0,69.0,75.0,51.0,72.0,79.0,80.0,72.0,9.0,7.0,12.0,11.0,11.0,4,Others
26,France,31500000.0,110.0,Left,2,3,2,Yes,DF,75,7,496,87.0,60.0,71.0,81.0,68.0,78.0,83.0,83.0,73.0,83.0,78.0,78.0,69.0,83.0,78.0,83.0,92.0,85.0,69.0,76.0,76.0,82.0,72.0,74.0,60.0,80.0,78.0,83.0,84.0,6.0,12.0,9.0,6.0,13.0,1,Others
26,England,71000000.0,220.0,Right,4,3,3,Yes,ST,291,39,1269,75.0,94.0,85.0,81.0,85.0,80.0,80.0,68.0,83.0,84.0,66.0,69.0,69.0,90.0,73.0,91.0,79.0,84.0,84.0,86.0,81.0,35.0,93.0,83.0,90.0,91.0,56.0,36.0,38.0,8.0,10.0,11.0,14.0,11.0,1,Others
23,England,16000000.0,70.0,Right,3,1,1,Yes,GK,153,11,481,14.0,9.0,13.0,32.0,5.0,13.0,13.0,10.0,40.0,32.0,51.0,48.0,61.0,79.0,56.0,53.0,63.0,34.0,60.0,6.0,21.0,11.0,8.0,33.0,16.0,56.0,17.0,14.0,14.0,80.0,80.0,70.0,77.0,83.0,7,ManUtd
29,Spain,22000000.0,140.0,Left,3,4,3,Yes,ST,73,12,427,77.0,80.0,80.0,81.0,77.0,81.0,83.0,67.0,58.0,82.0,90.0,91.0,79.0,83.0,74.0,82.0,77.0,75.0,69.0,76.0,68.0,31.0,83.0,81.0,77.0,80.0,44.0,41.0,40.0,7.0,13.0,10.0,11.0,5.0,0,Others
21,France,8000000.0,44.0,Left,2,2,1,No,DF,189,14,2677,68.0,53.0,74.0,74.0,37.0,62.0,60.0,59.0,68.0,67.0,64.0,70.0,72.0,74.0,69.0,68.0,77.0,73.0,79.0,40.0,68.0,74.0,59.0,63.0,44.0,79.0,75.0,77.0,75.0,6.0,9.0,14.0,12.0,8.0,4,Top 3
24,England,19000000.0,65.0,Right,3,4,1,Yes,ST,210,19,839,78.0,73.0,36.0,81.0,72.0,85.0,76.0,74.0,77.0,82.0,78.0,74.0,85.0,79.0,82.0,75.0,37.0,76.0,61.0,77.0,48.0,44.0,76.0,83.0,58.0,82.0,48.0,49.0,43.0,11.0,6.0,11.0,10.0,13.0,3,Others
28,Italy,25500000.0,125.0,Right,3,3,2,Yes,MF,70,12,458,75.0,60.0,56.0,89.0,71.0,79.0,75.0,76.0,88.0,85.0,61.0,50.0,77.0,81.0,72.0,71.0,58.0,85.0,66.0,62.0,79.0,78.0,68.0,87.0,91.0,81.0,64.0,80.0,71.0,14.0,7.0,13.0,14.0,8.0,0,Top 3
22,Wales,12000000.0,81.0,Right,4,3,1,Yes,MF,169,34,795,73.0,68.0,44.0,73.0,58.0,75.0,71.0,54.0,59.0,76.0,96.0,95.0,85.0,76.0,81.0,79.0,53.0,86.0,50.0,69.0,68.0,42.0,74.0,68.0,64.0,70.0,50.0,39.0,34.0,7.0,6.0,11.0,15.0,9.0,6,ManUtd
26,Portugal,40500000.0,120.0,Right,4,3,3,Yes,DF,104,11,884,82.0,63.0,65.0,83.0,59.0,82.0,78.0,52.0,78.0,82.0,84.0,83.0,79.0,85.0,79.0,74.0,75.0,88.0,69.0,64.0,79.0,81.0,75.0,77.0,61.0,81.0,82.0,84.0,83.0,16.0,12.0,15.0,11.0,11.0,2,Others
22,England,10000000.0,52.0,Right,3,4,1,Yes,DF,90,11,609,71.0,56.0,54.0,74.0,44.0,77.0,60.0,36.0,67.0,76.0,82.0,83.0,79.0,73.0,71.0,65.0,55.0,77.0,66.0,62.0,64.0,71.0,66.0,72.0,54.0,77.0,67.0,73.0,69.0,15.0,9.0,7.0,10.0,13.0,8,Others
23,England,20500000.0,79.0,Left,3,3,1,Yes,DF,101,8,701,78.0,47.0,68.0,76.0,42.0,78.0,67.0,67.0,70.0,81.0,77.0,76.0,70.0,80.0,72.0,72.0,82.0,88.0,69.0,40.0,72.0,78.0,74.0,72.0,52.0,74.0,77.0,79.0,82.0,10.0,7.0,14.0,7.0,10.0,4,Top 3
26,Scotland,53000000.0,155.0,Left,2,3,3,Yes,DF,155,18,1253,90.0,57.0,67.0,82.0,32.0,80.0,82.0,38.0,76.0,82.0,79.0,85.0,78.0,84.0,74.0,78.0,62.0,95.0,65.0,65.0,85.0,82.0,77.0,79.0,55.0,83.0,83.0,84.0,81.0,11.0,8.0,10.0,7.0,14.0,2,Top 3
27,England,24000000.0,120.0,Right,3,2,2,Yes,DF,77,46,303,51.0,48.0,86.0,78.0,47.0,71.0,44.0,46.0,82.0,76.0,47.0,53.0,54.0,82.0,55.0,68.0,84.0,76.0,90.0,52.0,84.0,83.0,61.0,71.0,44.0,83.0,81.0,83.0,79.0,14.0,16.0,9.0,14.0,9.0,3,ManUtd
20,England,5000000.0,31.0,Right,3,3,1,Yes,MF,51,8,201,54.0,61.0,41.0,74.0,52.0,74.0,54.0,46.0,69.0,72.0,76.0,75.0,73.0,67.0,72.0,72.0,60.0,72.0,66.0,64.0,66.0,62.0,71.0,69.0,57.0,62.0,56.0,62.0,53.0,11.0,6.0,12.0,8.0,9.0,14,Others
26,England,2800000.0,56.0,Left,3,3,1,Yes,ST,33,8,216,58.0,70.0,67.0,68.0,64.0,68.0,66.0,59.0,60.0,74.0,69.0,73.0,69.0,69.0,63.0,72.0,64.0,81.0,72.0,62.0,60.0,46.0,78.0,64.0,71.0,70.0,31.0,23.0,18.0,9.0,7.0,11.0,6.0,16.0,1,Others
23,France,20500000.0,82.0,Right,3,4,1,Yes,MF,162,15,703,69.0,59.0,56.0,84.0,59.0,88.0,74.0,65.0,81.0,86.0,79.0,69.0,84.0,82.0,86.0,80.0,60.0,58.0,79.0,68.0,75.0,72.0,69.0,87.0,60.0,87.0,66.0,73.0,69.0,8.0,10.0,13.0,8.0,7.0,7,Others
25,Japan,11000000.0,79.0,Right,4,3,1,No,ST,75,14,278,66.0,75.0,50.0,71.0,70.0,82.0,73.0,69.0,63.0,80.0,89.0,86.0,90.0,71.0,86.0,71.0,76.0,79.0,57.0,73.0,61.0,49.0,69.0,70.0,72.0,79.0,32.0,30.0,26.0,9.0,12.0,8.0,15.0,14.0,3,Top 3
18,England,1000000.0,6.0,Right,3,2,1,No,DF,15,3,52,42.0,33.0,65.0,63.0,29.0,57.0,46.0,33.0,63.0,58.0,72.0,79.0,69.0,64.0,53.0,54.0,70.0,61.0,72.0,39.0,66.0,63.0,41.0,53.0,35.0,61.0,65.0,64.0,57.0,11.0,8.0,11.0,5.0,10.0,18,ManUtd
25,Ivory Coast,28000000.0,98.0,Left,2,4,1,Yes,ST,166,27,412,78.0,77.0,57.0,74.0,70.0,85.0,79.0,79.0,67.0,81.0,88.0,90.0,89.0,83.0,79.0,80.0,68.0,79.0,68.0,77.0,43.0,28.0,80.0,80.0,85.0,77.0,36.0,27.0,25.0,11.0,14.0,11.0,6.0,8.0,3,Others
23,England,12500000.0,35.0,Left,3,4,1,Yes,MF,40,6,259,71.0,78.0,64.0,72.0,53.0,79.0,69.0,67.0,64.0,78.0,79.0,77.0,81.0,76.0,83.0,69.0,63.0,79.0,62.0,76.0,56.0,37.0,79.0,74.0,68.0,72.0,49.0,40.0,36.0,14.0,8.0,14.0,10.0,7.0,7,Others
24,Turkey,18000000.0,69.0,Right,4,2,1,Yes,DF,125,15,518,46.0,39.0,75.0,76.0,48.0,65.0,39.0,39.0,64.0,71.0,65.0,72.0,64.0,77.0,57.0,65.0,76.0,68.0,82.0,44.0,89.0,79.0,42.0,55.0,52.0,76.0,78.0,84.0,80.0,6.0,7.0,7.0,7.0,7.0,5,Others
20,England,5000000.0,39.0,Right,3,4,1,Yes,ST,139,10,575,65.0,69.0,39.0,68.0,55.0,77.0,66.0,67.0,58.0,76.0,85.0,85.0,83.0,64.0,76.0,67.0,41.0,67.0,52.0,54.0,42.0,42.0,70.0,67.0,54.0,60.0,24.0,37.0,37.0,12.0,12.0,11.0,11.0,15.0,10,Others
25,Czech Republic,21500000.0,46.0,Right,3,3,1,Yes,MF,66,7,247,69.0,68.0,79.0,80.0,59.0,74.0,63.0,53.0,76.0,76.0,61.0,69.0,66.0,79.0,60.0,70.0,78.0,92.0,83.0,70.0,73.0,83.0,71.0,71.0,70.0,77.0,80.0,80.0,79.0,11.0,13.0,5.0,6.0,8.0,5,Others
