,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,Position
93,238074,Reece James,20,England,77,86,Chelsea,12500000.0,49000.0,Right,Defender
96,245992,Billy Gilmour,19,Scotland,71,86,Chelsea,5000000.0,25000.0,Right,Midfielder
99,231943,Richarlison de Andrade,23,Brazil,81,88,Everton,25500000.0,90000.0,Right,Striker
107,211300,Anthony Martial,24,France,84,88,Manchester United,41000000.0,155000.0,Right,Midfielder
109,226491,Kieran Tierney,23,Scotland,78,86,Arsenal,13500000.0,59000.0,Left,Defender
110,200104,Heung Min Son,27,Korea Republic,87,87,Tottenham Hotspur,52500000.0,165000.0,Right,Midfielder
111,232580,Gabriel dos S. Magalhães,22,Brazil,78,85,Arsenal,13000000.0,59000.0,Left,Defender
114,173731,Gareth Bale,30,Wales,83,83,Tottenham Hotspur,24500000.0,130000.0,Left,Midfielder
120,221363,Donny van de Beek,23,Netherlands,83,87,Manchester United,33000000.0,125000.0,Right,Midfielder
123,229880,Aaron Wan-Bissaka,22,England,83,88,Manchester United,30500000.0,115000.0,Right,Defender
127,242656,Illan Meslier,20,France,69,81,Leeds United,1500000.0,18000.0,Left,Goalkeeper
128,234378,Declan Rice,21,England,79,86,West Ham United,16500000.0,31000.0,Right,Midfielder
129,212188,Timo Werner,24,Germany,85,88,Chelsea,49500000.0,135000.0,Right,Striker
131,228092,Sander Berge,22,Norway,79,86,Sheffield United,16000000.0,34000.0,Right,Midfielder
139,236988,Eddie Nketiah,21,England,71,83,Arsenal,4300000.0,35000.0,Right,Striker
141,199914,Allan Marques Loureiro,29,Brazil,83,83,Everton,25000000.0,115000.0,Right,Midfielder
143,237692,Phil Foden,20,England,79,88,Manchester City,19500000.0,86000.0,Left,Midfielder
145,238460,Rhian Brewster,20,England,70,84,Liverpool,3900000.0,32000.0,Right,Striker
148,235883,Ryan Sessegnon,20,England,75,86,Tottenham Hotspur,11500000.0,50000.0,Left,Midfielder
150,233064,Mason Mount,21,England,80,87,Chelsea,21000000.0,69000.0,Right,Midfielder
151,224458,Diogo José Teixeira da Silva,23,Portugal,80,86,Liverpool,20500000.0,90000.0,Right,Striker
152,246174,Harvey Elliott,17,England,65,85,Liverpool,1100000.0,4000.0,Left,Striker
155,242434,Curtis Jones,19,England,64,84,Liverpool,950000.0,9000.0,Right,Midfielder
165,234642,Édouard Mendy,28,Senegal,79,81,Chelsea,11000000.0,69000.0,Right,Goalkeeper
169,195864,Paul Pogba,27,France,86,87,Manchester United,50000000.0,190000.0,Right,Midfielder
173,252042,João Pedro Junqueira de Jesus,18,Brazil,69,84,Watford,2200000.0,4000.0,Right,Striker
176,225100,Joe Gomez,23,England,83,88,Liverpool,31000000.0,93000.0,Right,Defender
177,232756,Fikayo Tomori,22,England,76,85,Chelsea,11000000.0,55000.0,Right,Defender
180,213648,Pierre-Emile Højbjerg,24,Denmark,80,84,Tottenham Hotspur,17500000.0,73000.0,Right,Midfielder
183,200458,Lucas Digne,26,France,84,85,Everton,31500000.0,110000.0,Left,Defender
184,202126,Harry Kane,26,England,88,89,Tottenham Hotspur,71000000.0,220000.0,Right,Striker
187,233306,Dean Henderson,23,England,80,87,Manchester United,16000000.0,70000.0,Right,Goalkeeper
190,198329,Rodrigo Moreno Machado,29,Spain,82,82,Leeds United,22000000.0,140000.0,Left,Striker
196,235454,Malang Sarr,21,France,75,79,Chelsea,8000000.0,44000.0,Left,Defender
198,206517,Jack Grealish,24,England,80,83,Aston Villa,19000000.0,65000.0,Right,Striker
199,205498,Luiz Frello Filho Jorge,28,Italy,83,83,Chelsea,25500000.0,125000.0,Right,Midfielder
200,232104,Daniel James,22,Wales,77,83,Manchester United,12000000.0,81000.0,Right,Midfielder
202,210243,Ricardo Barbosa Pereira,26,Portugal,85,87,Leicester City,40500000.0,120000.0,Right,Defender
204,225782,Ainsley Maitland-Niles,22,England,76,84,Arsenal,10000000.0,52000.0,Right,Defender
208,229984,Ben Chilwell,23,England,81,85,Chelsea,20500000.0,79000.0,Left,Defender
211,216267,Andrew Robertson,26,Scotland,87,89,Liverpool,53000000.0,155000.0,Left,Defender
212,203263,Harry Maguire,27,England,82,85,Manchester United,24000000.0,120000.0,Right,Defender
213,237329,Joseph Willock,20,England,71,85,Arsenal,5000000.0,31000.0,Right,Midfielder
216,206534,Patrick Bamford,26,England,71,72,Leeds United,2800000.0,56000.0,Left,Striker
218,235569,Tanguy Ndombele,23,France,80,87,Tottenham Hotspur,20500000.0,82000.0,Right,Midfielder
222,226627,Takumi Minamino,25,Japan,77,80,Liverpool,11000000.0,79000.0,Right,Striker
224,253465,Teden Mengi,18,England,65,83,Manchester United,1000000.0,6000.0,Right,Defender
226,226110,Nicolas Pépé,25,Ivory Coast,82,85,Arsenal,28000000.0,98000.0,Left,Striker
230,224371,Jarrod Bowen,23,England,77,84,West Ham United,12500000.0,35000.0,Left,Midfielder
231,232119,Çağlar Söyüncü,24,Turkey,80,85,Leicester City,18000000.0,69000.0,Right,Defender
232,231448,Reiss Nelson,20,England,72,82,Arsenal,5000000.0,39000.0,Right,Striker
239,236792,Tomáš Souček,25,Czech Republic,81,86,West Ham United,21500000.0,46000.0,Right,Midfielder
240,226790,Wilfred Ndidi,23,Nigeria,84,88,Leicester City,36500000.0,96000.0,Right,Midfielder
243,189509,Thiago Alcântara,29,Spain,85,85,Liverpool,37000000.0,150000.0,Right,Midfielder
244,188567,Pierre-Emerick Aubameyang,31,Gabon,87,87,Arsenal,45000000.0,170000.0,Right,Striker
249,243057,Neco Williams,19,Wales,67,85,Liverpool,1500000.0,11000.0,Right,Defender
250,205452,Antonio Rüdiger,27,Germany,81,83,Chelsea,18500000.0,92000.0,Right,Defender
251,222501,Timothy Castagne,24,Belgium,77,82,Leicester City,12000000.0,61000.0,Right,Midfielder
254,208135,Abdoulaye Doucouré,27,France,78,80,Everton,11000000.0,69000.0,Right,Midfielder
255,243828,Matthew Longstaff,20,England,72,85,Newcastle United,6000000.0,20000.0,Right,Midfielder
257,231352,Tammy Abraham,22,England,78,85,Chelsea,15000000.0,77000.0,Right,Striker
258,245158,Luis Javier Suárez,22,Colombia,75,86,Watford,11500000.0,17000.0,Right,Striker
259,235735,Ethan Ampadu,19,Wales,67,84,Sheffield United,1500000.0,5000.0,Right,Defender
260,237221,Juan Foyth,22,Argentina,75,83,Tottenham Hotspur,9000000.0,52000.0,Right,Defender
262,234742,Harvey Barnes,22,England,79,85,Leicester City,17500000.0,80000.0,Right,Striker
263,236496,Mattéo Guendouzi,21,France,77,86,Arsenal,12500000.0,46000.0,Right,Midfielder
264,240273,Emile Smith Rowe,19,England,69,85,Arsenal,2300000.0,18000.0,Right,Midfielder
265,208670,Hakim Ziyech,27,Morocco,85,86,Chelsea,44000000.0,140000.0,Left,Midfielder
267,192985,Kevin De Bruyne,29,Belgium,91,91,Manchester City,87000000.0,370000.0,Right,Midfielder
268,235889,Cengiz Ünder,22,Turkey,78,84,Leicester City,14000000.0,66000.0,Left,Midfielder
269,243657,James Garner,19,England,66,84,Watford,1300000.0,3000.0,Right,Midfielder
275,231936,Ben White,22,England,75,84,Brighton & Hove Albion,9500000.0,38000.0,Right,Defender
277,220697,James Maddison,23,England,81,85,Leicester City,23000000.0,82000.0,Right,Midfielder
278,203376,Virgil van Dijk,28,Netherlands,90,91,Liverpool,75500000.0,210000.0,Right,Defender
279,218667,Bernardo Mota Carvalho e Silva,25,Portugal,87,88,Manchester City,60000000.0,230000.0,Left,Midfielder
280,243390,Ian Poveda,20,England,62,77,Leeds United,675000.0,11000.0,Left,Midfielder
281,236600,Japhet Tanganga,21,England,71,83,Tottenham Hotspur,3900000.0,29000.0,Right,Defender
285,209331,Mohamed Salah,28,Egypt,90,90,Liverpool,78000000.0,250000.0,Left,Striker
286,244915,Mohammed Salisu,21,Ghana,76,84,Southampton,10500000.0,32000.0,Left,Defender
291,208722,Sadio Mané,28,Senegal,90,90,Liverpool,78000000.0,250000.0,Right,Striker
295,208830,Jamie Vardy,33,England,86,86,Leicester City,28000000.0,160000.0,Right,Striker
297,232223,Konstantinos Tsimikas,24,Greece,76,81,Liverpool,9000000.0,55000.0,Left,Defender
304,219809,Tiemoué Bakayoko,25,France,79,81,Chelsea,14000000.0,77000.0,Right,Midfielder
305,201417,Matt Doherty,28,Republic of Ireland,81,81,Tottenham Hotspur,15000000.0,96000.0,Right,Defender
307,203747,Héctor Bellerín Moruno,25,Spain,80,85,Arsenal,17500000.0,76000.0,Right,Defender
308,183711,Jordan Henderson,30,England,86,86,Liverpool,36500000.0,140000.0,Right,Midfielder
311,209499,Fábio Henrique Tavares,26,Brazil,87,89,Liverpool,54500000.0,155000.0,Right,Midfielder
314,231554,James Justin,22,England,73,81,Leicester City,5500000.0,42000.0,Right,Defender
315,202652,Raheem Sterling,25,England,88,90,Manchester City,72500000.0,270000.0,Right,Striker
323,234568,Gedson Carvalho Fernandes,21,Portugal,75,84,Tottenham Hotspur,10000000.0,50000.0,Right,Midfielder
325,190717,Michail Antonio,30,England,78,78,West Ham United,10000000.0,46000.0,Right,Striker
332,211117,Dele Alli,24,England,83,87,Tottenham Hotspur,34000000.0,105000.0,Right,Midfielder
334,220523,Yerry Mina,25,Colombia,78,80,Everton,11500000.0,66000.0,Right,Defender
335,205988,Luke Shaw,24,England,81,83,Manchester United,19000000.0,97000.0,Left,Defender
342,230666,Gabriel Fernando de Jesus,23,Brazil,83,87,Manchester City,34500000.0,150000.0,Right,Striker
346,220710,Harry Wilson,23,Wales,77,83,Liverpool,12000000.0,66000.0,Left,Midfielder
350,237238,Scott McTominay,23,Scotland,79,84,Manchester United,15500000.0,85000.0,Right,Midfielder
352,222509,Daniel Ceballos Fernández,23,Spain,80,85,Arsenal,19500000.0,76000.0,Right,Midfielder
354,226226,Giovani Lo Celso,24,Argentina,82,87,Tottenham Hotspur,29000000.0,95000.0,Left,Midfielder
355,243282,Dwight McNeil,20,England,78,86,Burnley,15500000.0,41000.0,Left,Midfielder
358,216393,Youri Tielemans,23,Belgium,81,85,Leicester City,23000000.0,82000.0,Right,Midfielder
362,232080,Jack Harrison,23,England,74,80,Leeds United,7500000.0,62000.0,Left,Midfielder
363,186156,Luke Ayling,28,England,75,75,Leeds United,5500000.0,74000.0,Right,Defender
366,231866,Rodrigo Hernández Cascante,24,Spain,85,88,Manchester City,44000000.0,145000.0,Right,Midfielder
371,201942,Roberto Firmino Barbosa de Oliveira,28,Brazil,87,87,Liverpool,52000000.0,190000.0,Right,Striker
384,231292,Jamal Lewis,22,Northern Ireland,74,84,Newcastle United,8000000.0,26000.0,Left,Defender
385,215914,N'Golo Kanté,29,France,88,88,Chelsea,51000000.0,190000.0,Right,Midfielder
389,214947,Jean-Philippe Gbamin,24,Ivory Coast,78,83,Everton,12500000.0,59000.0,Right,Midfielder
390,198717,Wilfried Zaha,27,Ivory Coast,83,83,Crystal Palace,27000000.0,82000.0,Right,Striker
392,211784,Neal Maupay,23,France,77,81,Brighton & Hove Albion,12000000.0,52000.0,Right,Striker
394,228151,Josh Cullen,24,Republic of Ireland,71,77,West Ham United,3200000.0,21000.0,Right,Midfielder
396,204311,Kurt Zouma,25,France,80,83,Chelsea,16500000.0,82000.0,Right,Defender
398,227813,Oleksandr Zinchenko,23,Ukraine,80,85,Manchester City,17500000.0,96000.0,Left,Defender
399,221660,Victor Lindelöf,25,Sweden,80,84,Manchester United,17000000.0,100000.0,Right,Defender
400,225632,Oliver Burke,23,Scotland,67,72,Sheffield United,1000000.0,11000.0,Right,Striker
403,221743,Hélder Wander Sousa Azevedo Costa,26,Portugal,73,74,Leeds United,4700000.0,66000.0,Left,Midfielder
406,235794,Eberechi Eze,22,England,75,83,Crystal Palace,10000000.0,40000.0,Right,Midfielder
408,239837,Alexis Mac Allister,21,Argentina,75,85,Brighton & Hove Albion,11000000.0,36000.0,Right,Midfielder
414,227174,Matty Cash,22,England,75,82,Aston Villa,8500000.0,38000.0,Right,Defender
415,237560,Moussa Djenepo,22,Mali,75,83,Southampton,10000000.0,40000.0,Right,Midfielder
439,212602,Diego Javier Llorente Ríos,26,Spain,76,79,Leeds United,8500000.0,74000.0,Right,Defender
441,208920,Nathan Aké,25,Netherlands,79,83,Manchester City,14500000.0,100000.0,Left,Defender
442,221697,Ollie Watkins,24,England,76,81,Aston Villa,10500000.0,49000.0,Right,Striker
443,164240,Thiago Emiliano da Silva,35,Brazil,85,85,Chelsea,11500000.0,93000.0,Right,Defender
446,228815,Tyler Roberts,21,Wales,70,81,Leeds United,3100000.0,33000.0,Right,Midfielder
447,225508,Eric Bailly,26,Ivory Coast,79,82,Manchester United,14000000.0,100000.0,Right,Defender
449,170368,Erik Lamela,28,Argentina,80,80,Tottenham Hotspur,15000000.0,98000.0,Left,Midfielder
461,242964,Anthony Gordon,19,England,65,83,Everton,1200000.0,11000.0,Right,Striker
467,211575,André Filipe Tavares Gomes,26,Portugal,79,80,Everton,14500000.0,83000.0,Right,Midfielder
470,246159,Ethan Laird,18,England,66,83,Manchester United,1200000.0,7000.0,Right,Defender
475,204884,Benjamin Mendy,25,France,81,84,Manchester City,19500000.0,115000.0,Left,Defender
476,181291,Georginio Wijnaldum,29,Netherlands,85,85,Liverpool,37000000.0,150000.0,Right,Midfielder
477,206585,Kepa Arrizabalaga,25,Spain,82,86,Chelsea,21000000.0,76000.0,Right,Goalkeeper
478,176635,Mesut Özil,31,Germany,82,82,Arsenal,19500000.0,100000.0,Left,Midfielder
479,259031,Liam Delap,17,England,61,82,Manchester City,550000.0,3000.0,Right,Striker
480,212218,Aymeric Laporte,26,France,87,90,Manchester City,56000000.0,200000.0,Left,Defender
483,202335,Eric Dier,26,England,78,82,Tottenham Hotspur,12000000.0,73000.0,Right,Defender
485,224263,Jonjoe Kenny,23,England,76,83,Everton,9500000.0,52000.0,Right,Defender
488,226456,Pablo Fornals Malla,24,Spain,79,83,West Ham United,16500000.0,41000.0,Right,Midfielder
490,213666,Ruben Loftus-Cheek,24,England,78,84,Chelsea,14000000.0,70000.0,Right,Midfielder
491,232270,Timothy Fosu-Mensah,22,Netherlands,73,81,Manchester United,5500000.0,55000.0,Right,Defender
495,223959,Lucas Torreira,24,Uruguay,81,85,Arsenal,21000000.0,74000.0,Right,Midfielder
498,220793,Davinson Sánchez,24,Colombia,81,84,Tottenham Hotspur,20000000.0,79000.0,Right,Defender
499,192955,Mateusz Klich,30,Poland,73,73,Leeds United,3700000.0,66000.0,Right,Midfielder
500,237161,Sean Longstaff,22,England,73,83,Newcastle United,6500000.0,26000.0,Right,Midfielder
502,231436,Grady Diangana,22,England,73,84,West Bromwich Albion,7000000.0,50000.0,Left,Midfielder
520,180403,Willian Borges da Silva,31,Brazil,82,82,Arsenal,19500000.0,110000.0,Right,Striker
522,209297,Frederico de Paula Santos,27,Brazil,81,83,Manchester United,19000000.0,115000.0,Left,Midfielder
524,210514,João Pedro Cavaco Cancelo,26,Portugal,83,86,Manchester City,28000000.0,140000.0,Right,Defender
528,231485,Axel Tuanzebe,22,England,73,81,Manchester United,5500000.0,55000.0,Right,Defender
531,204935,Jordan Pickford,26,England,81,84,Everton,16000000.0,70000.0,Left,Goalkeeper
538,242752,Nathan Ferguson,19,England,69,82,Crystal Palace,1800000.0,11000.0,Right,Defender
539,212831,Alisson Ramses Becker,27,Brazil,90,91,Liverpool,62500000.0,160000.0,Right,Goalkeeper
551,207421,Leandro Trossard,25,Belgium,78,81,Brighton & Hove Albion,13000000.0,55000.0,Right,Midfielder
552,188377,Kyle Walker,30,England,85,85,Manchester City,30500000.0,170000.0,Right,Defender
555,153079,Sergio Agüero,32,Argentina,89,89,Manchester City,53000000.0,300000.0,Right,Striker
557,195859,Danny Ings,27,England,80,80,Southampton,16000000.0,70000.0,Right,Striker
558,228414,Matheus Fellipe Costa Pereira,24,Brazil,76,81,West Bromwich Albion,10500000.0,61000.0,Left,Midfielder
559,200949,Lucas Rodrigues M. Silva,27,Brazil,83,83,Tottenham Hotspur,27000000.0,120000.0,Right,Midfielder
568,233934,Aaron Ramsdale,22,England,75,83,Sheffield United,7500000.0,20000.0,Right,Goalkeeper
578,206006,Ezgjan Alioski,28,North Macedonia,73,73,Leeds United,3400000.0,63000.0,Left,Midfielder
582,244591,Jayden Bogle,19,England,72,83,Sheffield United,4700000.0,12000.0,Right,Defender
586,232099,Marko Grujić,24,Serbia,75,81,Liverpool,9000000.0,58000.0,Right,Midfielder
587,204485,Riyad Mahrez,29,Algeria,85,85,Manchester City,37500000.0,210000.0,Left,Striker
589,236499,Douglas Luiz Soares de Paulo,22,Brazil,75,83,Aston Villa,9000000.0,38000.0,Right,Midfielder
594,193301,Alexandre Lacazette,29,France,83,83,Arsenal,26000000.0,125000.0,Right,Striker
597,202811,Emiliano Martínez,27,Argentina,78,81,Aston Villa,9000000.0,43000.0,Right,Goalkeeper
600,193080,David De Gea Quintana,29,Spain,86,86,Manchester United,31500000.0,150000.0,Right,Goalkeeper
605,227678,Ezri Konsa,22,England,72,83,Aston Villa,4900000.0,29000.0,Right,Defender
606,222400,Harry Winks,24,England,79,84,Tottenham Hotspur,15500000.0,69000.0,Right,Midfielder
609,196978,Callum Wilson,28,England,78,78,Newcastle United,10500000.0,48000.0,Right,Striker
613,242453,Sepp van den Berg,18,Netherlands,65,82,Liverpool,1000000.0,5000.0,Right,Defender
621,203570,Stuart Dallas,29,Northern Ireland,73,73,Leeds United,3300000.0,63000.0,Right,Defender
623,246053,Joe Gelhardt,18,England,61,81,Leeds United,525000.0,6000.0,Left,Striker
625,199189,Ross Barkley,26,England,78,81,Aston Villa,12500000.0,58000.0,Right,Midfielder
632,213135,Divock Origi,25,Belgium,77,82,Liverpool,12000000.0,79000.0,Right,Striker
639,220196,David Brooks,22,Wales,76,83,Bournemouth,11000000.0,13000.0,Left,Midfielder
642,205693,Sébastien Haller,26,France,81,83,West Ham United,22000000.0,58000.0,Right,Striker
646,234777,Zack Steffen,25,United States,76,82,Manchester City,8000000.0,64000.0,Right,Goalkeeper
657,207494,Jesse Lingard,27,England,77,77,Manchester United,9500000.0,93000.0,Right,Midfielder
662,213655,Alex Iwobi,24,Nigeria,77,81,Everton,11500000.0,61000.0,Right,Midfielder
663,199503,Granit Xhaka,27,Switzerland,80,81,Arsenal,15000000.0,80000.0,Left,Midfielder
667,225024,Mason Holgate,23,England,77,81,Everton,10500000.0,55000.0,Right,Defender
668,207410,Mateo Kovačić,26,Croatia,83,86,Chelsea,31500000.0,120000.0,Right,Midfielder
679,231633,Issa Diop,23,France,77,84,West Ham United,11500000.0,31000.0,Right,Defender
682,236480,Yves Bissouma,23,Mali,75,80,Brighton & Hove Albion,9000000.0,42000.0,Right,Midfielder
683,223334,Joelinton Apolinário de Lira,23,Brazil,75,81,Newcastle United,9500000.0,34000.0,Right,Striker
690,206654,Pablo Marí Villar,26,Spain,75,78,Arsenal,7500000.0,57000.0,Left,Defender
710,222562,Rúnar Alex Rúnarsson,25,Iceland,70,75,Arsenal,1800000.0,25000.0,Right,Goalkeeper
727,210257,Ederson Santana de Moraes,26,Brazil,88,91,Manchester City,53500000.0,195000.0,Left,Goalkeeper
732,205569,James Ward-Prowse,25,England,79,83,Southampton,16000000.0,58000.0,Right,Midfielder
734,135507,Fernando Luiz Rosa,35,Brazil,84,84,Manchester City,9500000.0,110000.0,Right,Defender
738,211454,Mohamed Elneny,27,Egypt,76,77,Arsenal,8000000.0,60000.0,Right,Midfielder
740,208450,Andreas Hugo Hoelgebaum Pereira,24,Brazil,75,78,Manchester United,8500000.0,72000.0,Right,Midfielder
742,220971,Naby Keïta,25,Guinea,81,85,Liverpool,22500000.0,96000.0,Right,Midfielder
743,207807,Ryan Fraser,26,Scotland,79,80,Newcastle United,15000000.0,47000.0,Right,Midfielder
745,247649,Jarrad Branthwaite,18,England,60,82,Everton,450000.0,3000.0,Left,Defender
747,238216,Conor Gallagher,20,England,70,83,West Bromwich Albion,3400000.0,29000.0,Right,Midfielder
748,230005,Tom Davies,22,England,75,80,Everton,9000000.0,55000.0,Right,Midfielder
749,192563,Bernd Leno,28,Germany,85,87,Arsenal,33500000.0,105000.0,Right,Goalkeeper
750,203574,John Stones,26,England,80,83,Manchester City,16500000.0,110000.0,Right,Defender
759,207948,Bertrand Traoré,24,Burkina Faso,76,79,Aston Villa,10000000.0,49000.0,Left,Striker
762,213661,Andreas Christensen,24,Denmark,79,84,Chelsea,15000000.0,69000.0,Right,Defender
764,164859,Theo Walcott,31,England,76,76,Everton,7000000.0,66000.0,Right,Midfielder
765,184087,Toby Alderweireld,31,Belgium,85,85,Tottenham Hotspur,28500000.0,130000.0,Right,Defender
767,242265,Michael Obafemi,19,Republic of Ireland,69,81,Southampton,1800000.0,15000.0,Right,Striker
771,191202,Nemanja Matić,31,Serbia,80,80,Manchester United,11000000.0,105000.0,Left,Midfielder
775,247463,Folarin Balogun,18,England,60,80,Arsenal,425000.0,4000.0,Right,Striker
784,236529,Steven Alzate,21,Colombia,68,79,Brighton & Hove Albion,1500000.0,15000.0,Right,Midfielder
785,222104,Tosin Adarabioyo,22,England,70,81,Manchester City,2800000.0,40000.0,Right,Defender
791,183394,Moussa Sissoko,30,France,79,79,Tottenham Hotspur,11500000.0,89000.0,Right,Midfielder
792,198784,Alex Oxlade-Chamberlain,26,England,79,80,Liverpool,14500000.0,89000.0,Right,Midfielder
793,236248,Ben Woodburn,20,Wales,66,81,Liverpool,1400000.0,15000.0,Right,Midfielder
796,207599,Michael Keane,27,England,78,79,Everton,10500000.0,69000.0,Right,Defender
799,215565,Matt Miazga,24,United States,71,77,Chelsea,2900000.0,35000.0,Right,Defender
805,180216,Séamus Coleman,31,Republic of Ireland,79,79,Everton,9000000.0,76000.0,Right,Defender
809,197853,Serge Aurier,27,Ivory Coast,80,80,Tottenham Hotspur,13000000.0,86000.0,Right,Defender
812,193348,Xherdan Shaqiri,28,Switzerland,81,81,Liverpool,18000000.0,105000.0,Left,Midfielder
814,215590,Ayoze Pérez Gutiérrez,26,Spain,79,79,Leicester City,13500000.0,90000.0,Right,Striker
816,201995,Felipe Anderson Pereira Gomes,27,Brazil,81,81,West Ham United,18500000.0,53000.0,Right,Midfielder
821,210736,Emerson Palmieri dos Santos,25,Italy,79,82,Chelsea,14000000.0,77000.0,Left,Defender
822,202477,Gerard Deulofeu Lázaro,26,Spain,80,81,Watford,17500000.0,25000.0,Right,Midfielder
830,228295,Rob Holding,24,England,75,82,Arsenal,8500000.0,49000.0,Right,Defender
831,256831,Dennis Cirkin,18,England,61,83,Tottenham Hotspur,525000.0,3000.0,Left,Defender
838,189881,Chris Smalling,30,England,79,79,Manchester United,10000000.0,100000.0,Right,Defender
841,189456,Liam Cooper,28,Scotland,73,74,Leeds United,3900000.0,63000.0,Left,Defender
848,184432,César Azpilicueta Tanco,30,Spain,84,84,Chelsea,24500000.0,120000.0,Right,Defender
856,246863,Felix Nmecha,19,England,62,82,Manchester City,650000.0,9000.0,Right,Midfielder
858,198861,Nampalys Mendy,28,France,75,75,Leicester City,6000000.0,60000.0,Right,Midfielder
863,203841,Nick Pope,28,England,82,83,Burnley,18500000.0,59000.0,Right,Goalkeeper
873,179591,Pablo Hernández Dominguez,35,Spain,75,75,Leeds United,2900000.0,57000.0,Right,Midfielder
875,226093,Che Adams,23,England,74,79,Southampton,7500000.0,41000.0,Right,Striker
877,184484,Gylfi Sigurðsson,30,Iceland,79,79,Everton,12000000.0,83000.0,Right,Midfielder
888,236316,Yan Valery,21,France,72,82,Southampton,4600000.0,23000.0,Right,Defender
889,245715,Jamie Shackleton,20,England,65,80,Leeds United,1200000.0,15000.0,Right,Midfielder
903,204529,Michy Batshuayi,26,Belgium,78,81,Crystal Palace,13000000.0,60000.0,Right,Striker
913,220031,Oliver McBurnie,24,Scotland,75,79,Sheffield United,9000000.0,31000.0,Right,Striker
916,232381,Wesley Moraes Ferreira da Silva,23,Brazil,76,81,Aston Villa,10500000.0,49000.0,Right,Striker
918,212722,DeAndre Yedlin,26,United States,76,77,Newcastle United,8000000.0,34000.0,Right,Defender
924,230977,Miguel Almirón,26,Paraguay,78,79,Newcastle United,12000000.0,43000.0,Left,Midfielder
929,185422,Joshua King,28,Norway,77,77,Bournemouth,9000000.0,19000.0,Right,Striker
939,237286,Aaron Connolly,20,Republic of Ireland,70,77,Brighton & Hove Albion,2600000.0,23000.0,Right,Striker
946,205923,Ben Davies,27,Wales,80,81,Tottenham Hotspur,14500000.0,86000.0,Left,Defender
948,179944,David Luiz Moreira Marinho,33,Brazil,80,80,Arsenal,7000000.0,80000.0,Right,Defender
958,242908,Jack Clarke,19,England,67,81,Tottenham Hotspur,1600000.0,13000.0,Right,Midfielder
962,221982,Patrick Roberts,23,England,73,81,Manchester City,6000000.0,71000.0,Left,Striker
963,211381,Sofiane Boufal,26,Morocco,75,75,Southampton,7000000.0,46000.0,Right,Midfielder
969,167948,Hugo Lloris,33,France,87,87,Tottenham Hotspur,27000000.0,125000.0,Left,Goalkeeper
970,252793,Taylor Harwood-Bellis,18,England,61,82,Manchester City,525000.0,4000.0,Right,Defender
971,205525,Bernard Anício Caldeira Duarte,27,Brazil,78,78,Everton,11000000.0,75000.0,Right,Midfielder
980,235450,Domingos Quina,20,Portugal,68,81,Watford,1700000.0,6000.0,Right,Midfielder
981,220570,Jan Bednarek,24,Poland,77,83,Southampton,11000000.0,41000.0,Right,Defender
